epoch,total_active_stake,total_blocks,pool_id,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_perf,Active Stake (ADA),Pool performance (%)
289,2.33112E+16,21600,pool1rmj268jpjncqrr0mcej7wf7n5lmcckv9p359e4dp74duqe7tljn,0,7427597,3.19E-10,1,0,0,0,7.427597,0
289,2.33112E+16,21600,pool18ml3ex5ra5wkv00vxx0mw876s2xe0058z37mpzv263872nasmv0,0,7475689,3.21E-10,1,0,0,0,7.475689,0
289,2.33112E+16,21600,pool1zx0lmhdymz23e702clzyywdw522nh66eqaseaye8sue3cyfzkar,0,7557277,3.24E-10,1,0,0,0,7.557277,0
289,2.33112E+16,21600,pool1axgtae69sdv7tnqru3enjdln0hff9k7n8awlh9xxzq92cdgmq53,0,7620000,3.27E-10,1,0,0,0,7.62,0
289,2.33112E+16,21600,pool146u0r8qh0jg6rd3th76q6cepwm03nya4pkvfj08juqrz7wxnfv9,0,7622358,3.27E-10,1,0,0,0,7.622358,0
289,2.33112E+16,21600,pool10dyxr6rscva9k3x9zcu70zda2ln0gtyf3g8h7j02pzzwz8e5ddm,0,8243748,3.54E-10,3,0,0,0,8.243748,0
289,2.33112E+16,21600,pool1mwv76cr0znehqxe23xk4ylhr0j6gwsjxf2cvwjxm0ewdgcjzw3e,0,8442161,3.62E-10,1,0,0,0,8.442161,0
289,2.33112E+16,21600,pool18lc8uxyrnuurer7hr77xqh83cp667jazlghe2qetvzfqvxjtdqc,0,8602239,3.69E-10,2,0,0,0,8.602239,0
289,2.33112E+16,21600,pool16jczz0dlv557vgywgftd4m3vwnwjnl38wpn7wu5gqryz7aedahd,0,8898534,3.82E-10,2,0,0,0,8.898534,0
289,2.33112E+16,21600,pool1cpzz6aqljgk97ks728xa76wqg96kj79ndc3gasx7kdnr74wrk70,0,8906278,3.82E-10,1,0,0,0,8.906278,0
289,2.33112E+16,21600,pool1tfye5tfgd6x2mw5xwe5lr2y6cu9grnpvenj7dc8258xmq8cuc04,0,9436265,4.05E-10,1,0,0,0,9.436265,0
289,2.33112E+16,21600,pool1f5ml07llzd2ndk5mrdl0gvtkkaq72v2hxusla795ksnms4tae66,0,9471895,4.06E-10,3,0,0,0,9.471895,0
289,2.33112E+16,21600,pool194rde70lnsrdu692j6hzrth2ka08l2t4g9mj0xl8tyfmuny7faj,0,9618398,4.13E-10,1,0,0,0,9.618398,0
289,2.33112E+16,21600,pool1nf8990yn76kp9csnfrrl9aar7z8l7pas0jlfu637us5n6sgycem,0,9619058,4.13E-10,1,0,0,0,9.619058,0
289,2.33112E+16,21600,pool1wsr9ehtfvc4cs3rzfv65jjv7w7pe3xngw58mtt0ex4jck5frw79,0,9823411,4.21E-10,2,0,0,0,9.823411,0
289,2.33112E+16,21600,pool1yfxhjwwlzr5da82h77jy83nkuryh970ey6zypd89fy6qyuxfppe,0,9825875,4.22E-10,2,0,0,0,9.825875,0
289,2.33112E+16,21600,pool1kllc67fn00yqpffw8e9dqnlcaa733h9u5nwx97vhtjlw2t5e56j,0,9892022,4.24E-10,2,0,0,0,9.892022,0
289,2.33112E+16,21600,pool1rhew9hdp6wpudh22k7gyjtv98r872hca064n8ug8lk3j65ae59a,0,9975834,4.28E-10,1,0,0,0,9.975834,0
289,2.33112E+16,21600,pool14g7yxpecpp2vt25nc7mjtf8q5g8n362wxksvpxz5fht35khqs0t,0,10000000,4.29E-10,1,0,0,0,10,0
289,2.33112E+16,21600,pool1gavc60d7mz7vvhsh7grcrc8pmcy0zugrnxh3dklwx0sjsdva6sj,0,10000000,4.29E-10,1,0,0,0,10,0
289,2.33112E+16,21600,pool15l8p8v8yzdjvl3vml6qafx0wgy4k6t938jl0qy24wslgw7xlhc2,0,10047069,4.31E-10,2,0,0,0,10.047069,0
289,2.33112E+16,21600,pool14yrwkr6vxx46pz8zf5dehy2jfwu7pgf0vn4e6u0v97c5ckh9ddl,0,10310990,4.42E-10,1,0,0,0,10.31099,0
289,2.33112E+16,21600,pool1gprrm7gehg9wlupqsvyf59l52q8wgr3y46p656r66t7zy7j2z66,0,10689635,4.59E-10,1,0,0,0,10.689635,0
289,2.33112E+16,21600,pool18fw3qgzt4u094hn8kf82n6jye5y96csamj0f20dja8tnq4ad0hy,0,10843473,4.65E-10,1,0,0,0,10.843473,0
289,2.33112E+16,21600,pool1gcqq0gt4hmgvq942x0s57lf3f4mhtexuuzgjrsmtj0kmsmqz32z,0,11000000,4.72E-10,2,0,0,0,11,0
289,2.33112E+16,21600,pool1ztpwatlnzskuruwe7hxwvu6xjsv6l24835pyvpx7lslccy3xx9a,0,11286634,4.84E-10,2,0,0,0,11.286634,0
289,2.33112E+16,21600,pool1p98qztq2t77u89vvsratsmsx8hu965w4n7xneg5qu7gtgcdude0,0,11633160,4.99E-10,2,0,0,0,11.63316,0
289,2.33112E+16,21600,pool1xm4nalvh3yd7pzczlr84w4jlzymwqrnshlpv80u8s6zex997kc6,0,11700000,5.02E-10,7,0,0,0,11.7,0
289,2.33112E+16,21600,pool1adllnm43t3nuspvnr5r08jh6gpyvedu76hrhc6xymjzavd5d8f6,0,11875566,5.09E-10,1,0,0,0,11.875566,0
289,2.33112E+16,21600,pool1kqnkeu8uyxg3welmvk9w8046dg8xs4qq77s70ljr2zsegw8lwr8,0,12061087,5.17E-10,1,0,0,0,12.061087,0
289,2.33112E+16,21600,pool1cshuf0jy40a83glgwakert9czfnqrpyq6zwqly2705mrwkajuhu,0,12068846,5.18E-10,1,0,0,0,12.068846,0
289,2.33112E+16,21600,pool157sjc5een0ptynrn6ettx6zr2gl8wm8ymjtwuyravqmmcs45d20,0,12440621,5.34E-10,1,0,0,0,12.440621,0
289,2.33112E+16,21600,pool1kxzfswkhgcmyahh6lfjpy5uxh75qzsnlyprh3450av9jghsda89,0,12621038,5.41E-10,1,0,0,0,12.621038,0
289,2.33112E+16,21600,pool1mugxe86p0p6fzeesthdzkuk3h9xtndf4my9cznmxtmpvujzlw4f,0,12811041,5.50E-10,6,0,0,0,12.811041,0
289,2.33112E+16,21600,pool12plmfgtqk4nj0wse5wnr49xth22fjacxm0gxg3wc88ewzztpwf5,0,14329949,6.15E-10,3,0,0,0,14.329949,0
289,2.33112E+16,21600,pool1e3sle58uk700s4rl035qnscnfcv5ulxah4m7829qpcvjudc9k8a,0,14640105,6.28E-10,1,0,0,0,14.640105,0
289,2.33112E+16,21600,pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,0,14656590,6.29E-10,1,0,0,0,14.65659,0
289,2.33112E+16,21600,pool1ga0h4pv0psju8z3j7l852elq92c7xshuspt27jklnx665r4l2q8,0,14776577,6.34E-10,1,0,0,0,14.776577,0
289,2.33112E+16,21600,pool1js3l2kgut64prz0q0a8px7qtyduclfm3h2kuvrl5gfzmy0waxyt,0,16916486,7.26E-10,1,0,0,0,16.916486,0
289,2.33112E+16,21600,pool1spqkpaezku3knl9ug7txrlyzr8kkvdr0h75yyz262cx6gls6zlm,0,17115823,7.34E-10,1,0,0,0,17.115823,0
289,2.33112E+16,21600,pool1scnq7w9rxgt2c4lax0y0ch0el2t9pjcyffhhzs2dfgt75u2zcq4,0,17619014,7.56E-10,1,0,0,0,17.619014,0
289,2.33112E+16,21600,pool1dmugaarr3nq0679fa02kqunlfmcyxdxfy3quc9x9s69zquty478,0,17639298,7.57E-10,1,0,0,0,17.639298,0
289,2.33112E+16,21600,pool1ur2y44cgsyf9l40y4xdc7w3cwy88vgmj95deatatzqnqqhrfp7f,0,17639298,7.57E-10,1,0,0,0,17.639298,0
289,2.33112E+16,21600,pool19sydze39a8dccylczqe2m4nnslpreytxlj5fu400nqxkg8wvgx8,0,17639298,7.57E-10,1,0,0,0,17.639298,0
289,2.33112E+16,21600,pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,0,17639298,7.57E-10,1,0,0,0,17.639298,0
289,2.33112E+16,21600,pool1wp9p6rlpratng7rhrvyz6mcjqsl04laxxvvuu06umc5vghacqa4,0,17639298,7.57E-10,1,0,0,0,17.639298,0
289,2.33112E+16,21600,pool13gyxktxqh8umjn3dh2uk9nucacnegl0ppcsfg236hkfhcg8asxf,0,17758678,7.62E-10,2,0,0,0,17.758678,0
289,2.33112E+16,21600,pool1fwg2x8pwwxverf0wqtk3pnqtywlah9em3ywyvhskafvm5z3e7kr,0,18269664,7.84E-10,1,0,0,0,18.269664,0
289,2.33112E+16,21600,pool1h08araxldht60j00vp8lzllmwyevjwqd5zwyprc62536gk4s5ge,0,18737033,8.04E-10,6,0,0,0,18.737033,0
289,2.33112E+16,21600,pool1l54esv8h5xjry9ms3jq4mnf49vwt3yuxl5fdudp7jpdx2swuaah,0,19453176,8.34E-10,1,0,0,0,19.453176,0
289,2.33112E+16,21600,pool18sqt4qwprlt6ytg8pu2qpz262j9vhlzmtwn2fwvhpcnzc0u5ynw,0,20603691,8.84E-10,4,0,0,0,20.603691,0
289,2.33112E+16,21600,pool1p7x98437an7p6c7jf9zdkd0ekmw077q4a3c3r3lazxr0ccgf5vp,0,20902938,8.97E-10,4,0,0,0,20.902938,0
289,2.33112E+16,21600,pool1v46s6ak79m3mlv65pjh7ypvsp7n6cc62a723dpwmhtn8uy4pld5,0,22420601,9.62E-10,2,0,0,0,22.420601,0
289,2.33112E+16,21600,pool1rkknx2m6h3dw6y6t8ux6fx65mxamgk207mdwtcc3yvas2yyrvxp,0,23613933,1.01E-09,2,0,0,0,23.613933,0
289,2.33112E+16,21600,pool1f2pqecfn9x8kzgjeecyjk7cnqj0nyu84uaj2ptr0xdjr5w9qepc,0,24923870,1.07E-09,3,0,0,0,24.92387,0
